exam_id,condition_or_syndrome,diagnostic_target,when_to_use_structured,result_changes_management,management_link,evidence_source_primary,source_url_or_pubmed,LR_plus,LR_minus,evidence_tier,difficulty,time_burden_minutes,equipment_needed,care_setting,contraindications_or_limitations,retrieval_tags,actionability_score_seed,evidence_status,evidence_summary,last_reviewed
neuro_cranial_nerves_cn_ii_visual_acuity,Vision complaint; pituitary or optic pathway disease; stroke; neuro exam,cranial nerve II/III/IV/VI deficit or neuro-ophthalmic localization,Vision complaint; pituitary or optic pathway disease; stroke; neuro exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,pocket visual acuity chart,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",cn_ii;cranial_nerve_exam;cranial_nerves;neuro;neuro_exam;neurologic_localization;pituitary_or_optic_pathway_disease;stroke;vision_complaint;visual_acuity,6,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
neuro_cranial_nerves_cn_ii_visual_fields,Vision change; pituitary/suprasellar lesion; stroke; neuro exam,cranial nerve II/III/IV/VI deficit or neuro-ophthalmic localization,Vision change; pituitary/suprasellar lesion; stroke; neuro exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; ED; clinic,Limit bright light if severe photophobia or ocular injury; interpret cautiously after eye drops or ocular procedures.,cn_ii;cranial_nerve_exam;cranial_nerves;neuro;neuro_exam;neurologic_localization;pituitary_suprasellar_lesion;stroke;vision_change;visual_fields,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
neuro_cranial_nerves_cn_iii_iv_vi_extraocular_movements,Diplopia; eye complaint; brainstem/cavernous sinus concern; neuro exam,cranial nerve II/III/IV/VI deficit or neuro-ophthalmic localization,Diplopia; eye complaint; brainstem/cavernous sinus concern; neuro exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; outpatient clinic,"Palpate gently; stop if marked pain, airway concern, skin breakdown, trauma concern, or patient preference limits the exam.",brainstem_cavernous_sinus_concern;cn_iii_iv_vi;cranial_nerve_exam;cranial_nerves;diplopia;extraocular_movements;eye_complaint;heent_exam;neuro;neuro_exam;neurologic_localization;stroke,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
neuro_cranial_nerves_cn_iii_convergence,Diplopia; neuro exam; eye complaint,Screens medial rectus convergence via CN III,Diplopia; neuro exam; eye complaint,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,,,,,insufficient_public_evidence,low,2,none,inpatient bedside; outpatient clinic,Limit bright light if severe photophobia or ocular injury; interpret cautiously after eye drops or ocular procedures.,cn_iii;convergence;cranial_nerve_exam;cranial_nerves;diplopia;eye_complaint;neuro;neuro_exam;neurologic_localization;stroke,6,pending,,
neuro_cranial_nerves_cn_ii_iii_pupillary_light,Neuro exam; altered mental status; eye complaint; head trauma,cranial nerve II/III/IV/VI deficit or neuro-ophthalmic localization,Neuro exam; altered mental status; eye complaint; head trauma,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,penlight,inpatient bedside; outpatient clinic,Limit bright light if severe photophobia or ocular injury; interpret cautiously after eye drops or ocular procedures.,altered_mental_status;cn_ii_iii;cranial_nerve_exam;cranial_nerves;eye_complaint;head_trauma;neuro;neuro_exam;neurologic_localization;pupillary_light;stroke,9,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
neuro_cranial_nerves_cn_v_facial_light_touch,Facial numbness; stroke; cranial nerve exam,cranial nerve motor or sensory asymmetry,Facial numbness; stroke; cranial nerve exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,penlight; cotton-tipped applicator,inpatient bedside; ED; clinic,Use clean disposable stimulus; avoid skin breakdown or open wounds.,cn_v;cranial_nerve_exam;cranial_nerves;facial_light_touch;facial_numbness;neuro;neuro_exam;neurologic_localization;stroke,6,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
neuro_cranial_nerves_cn_v_facial_sharp_touch,Facial numbness; trigeminal concern; neuro exam,cranial nerve motor or sensory asymmetry,Facial numbness; trigeminal concern; neuro exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,cotton-tipped applicator,inpatient bedside; outpatient clinic,Use clean disposable stimulus; avoid skin breakdown or open wounds.,cn_v;cranial_nerve_exam;cranial_nerves;facial_numbness;facial_sharp_touch;neuro;neuro_exam;neurologic_localization;stroke;trigeminal_concern,6,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
neuro_cranial_nerves_cn_v_masseter_strength,Cranial nerve exam; jaw weakness,cranial nerve motor or sensory asymmetry,Cranial nerve exam; jaw weakness,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",cn_v;cranial_nerve_exam;cranial_nerves;jaw_weakness;masseter_strength;neuro;neuro_exam;neurologic_localization;stroke,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
neuro_cranial_nerves_cn_vii_eye_closure_strength,Facial weakness; stroke; cranial nerve exam,cranial nerve motor or sensory asymmetry,Facial weakness; stroke; cranial nerve exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",cn_vii;cranial_nerve_exam;cranial_nerves;eye_closure_strength;facial_weakness;neuro;neuro_exam;neurologic_localization;stroke,8,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
neuro_cranial_nerves_cn_vii_show_teeth,Facial weakness; stroke; cranial nerve exam,cranial nerve motor or sensory asymmetry,Facial weakness; stroke; cranial nerve exam,"New focal neurologic findings can prompt urgent localization, stroke/neuro escalation, fall precautions, imaging review, or therapy planning.",https://www.hopkinsmedicine.org/health/conditions-and-diseases/neurological-exam,Merck Manual cranial nerve exam; Johns Hopkins neurological exam overview,https://www.merckmanuals.com/professional/neurologic-disorders/neurologic-examination/how-to-assess-the-cranial-nerves,,,teaching_reference,low,2,none,inpatient bedside; ED; clinic,"Interpret in clinical context; patient cooperation, pain, body habitus, positioning, and examiner skill may limit reliability.",cn_vii;cranial_nerve_exam;cranial_nerves;facial_weakness;neuro;neuro_exam;neurologic_localization;show_teeth;stroke,6,public_lr_unavailable,Public neuro-exam references support this maneuver for localization and bedside safety decisions; no diagnostic LR is assigned.,2026-06-06
